cluster_uuid,center_lat,center_lon,singular,plural,combined_dict,is_dump,combined_string
206fe4c7-8c1a-48d8-bfa0-64b36f2c8190,50.73142638888895,-1.730473611111128,1,1,"{'softdrinks.fizzyDrinkBottle': 1, 'softdrinks.juice_bottles': 1}",True,"softdrinks.fizzyDrinkBottle 1, softdrinks.juice_bottles 1"
207293ca-7343-4809-99b8-6eee61ab3b0e,52.497611111111105,4.778444444444443,2,0,"{'alcohol.beerCan': 1, 'softdrinks.tinCan': 1}",False,"alcohol.beerCan 1, softdrinks.tinCan 1"
20779763-5eb3-4ae4-a305-8fe988dc41a4,52.50433611111111,4.777583333333333,1,0,{'softdrinks.waterBottle': 1},False,softdrinks.waterBottle 1
2079f951-d096-4572-9b5a-bfb2c3f35561,52.434144444444,4.8175,1,0,"{'softdrinks.energy_can': 1, 'brands.redbull': 1}",False,"softdrinks.energy_can 1, brands.redbull 1"
2088883d-4492-4412-b90b-51899d1e7746,52.434005555556,4.8185611111111,1,0,"{'softdrinks.tinCan': 1, 'brands.coke': 1}",False,"softdrinks.tinCan 1, brands.coke 1"
208a49b7-063e-4e3b-a4a8-838cd1408d75,52.807595138889,-8.436849305555576,0,5,"{'food.sweetWrappers': 4, 'other.other': 1}",True,"food.sweetWrappers 4, other.other 1"
208b15d3-ea2e-4a70-ac28-93500394a9d3,37.498488888888886,-122.1288425925926,3,0,"{'sanitary.sanitaryOther': 1, 'alcohol.alcoholOther': 1, 'softdrinks.bottleLabel': 1, 'brands.nestle': 1}",False,"sanitary.sanitaryOther 1, alcohol.alcoholOther 1, softdrinks.bottleLabel 1, brands.nestle 1"
208e7c6e-efe0-41ac-8346-772496b5ab20,52.66137313842773,-3.1503114700317383,4,1,"{'smoking.butts': 1, 'food.sweetWrappers': 1, 'food.napkins': 1, 'coffee.coffeeOther': 1, 'other.paper': 1}",True,"smoking.butts 1, food.sweetWrappers 1, food.napkins 1, coffee.coffeeOther 1, other.paper 1"
2092531e-8906-4a85-baa1-6957a43994ef,52.50245,4.764325,1,0,"{'alcohol.beerCan': 1, 'brands.heineken': 1}",False,"alcohol.beerCan 1, brands.heineken 1"
209e66ca-db5d-4076-b0ea-afb6531f1834,52.65640854722222,-3.1385256962962966,9,2,"{'smoking.butts': 2, 'smoking.cigaretteBox': 1, 'smoking.smoking_plastic': 1, 'dumping.small': 1, 'other.random_litter': 1, 'food.sweetWrappers': 1, 'softdrinks.waterBottle': 1, 'softdrinks.bottleLabel': 1, 'softdrinks.tinCan': 1, 'softdrinks.juice_bottles': 1, 'brands.coke': 1, 'brands.pepsi': 1}",True,"smoking.butts 2, smoking.cigaretteBox 1, smoking.smoking_plastic 1, dumping.small 1, other.random_litter 1, food.sweetWrappers 1, softdrinks.waterBottle 1, softdrinks.bottleLabel 1, softdrinks.tinCan 1, softdrinks.juice_bottles 1, brands.coke 1, brands.pepsi 1"
